Column1,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
  Total Overdose Deaths,1240,1435,1700,2095,2491,2751,2918,3460,3550,3487,3377,3571,3762,3518,3664,3798,4235,5376,5455,4633,4777,7095,7426
  Female,346,369,438,560,632,683,733,820,883,848,862,988,990,945,1028,1075,1258,1483,1663,1481,1459,1990,2311
  Male,894,1066,1262,1535,1859,2068,2185,2640,2667,2639,2515,2583,2772,2573,2636,2723,2977,3893,3792,3152,3318,5105,5115
Any Opioid,621,728,944,1179,1399,1596,1685,2096,2176,2294,2229,2387,2545,2344,2486,2706,3082,4027,4094,3618,3725,5986,6312
  Female,141,140,203,269,306,333,371,444,491,482,521,603,624,574,640,711,871,1041,1209,1091,1058,1584,1866
  Male,480,588,741,910,1093,1263,1314,1652,1685,1812,1708,1784,1921,1769,1846,1995,2211,2986,2885,2527,2667,4402,4446
Prescription Opioids,228,288,489,641,833,1031,1058,1388,1536,1449,1406,1530,1427,1120,988,931,886,1146,1050,790,672,812,655
  Female,61,69,101,152,175,202,225,290,353,299,338,389,363,289,241,252,267,294,322,242,198,220,206
  Male,167,219,388,489,658,829,833,1098,1183,1150,1068,1141,1064,831,747,679,619,852,728,548,474,592,449
Prescription Opioids AND Synthetic Opioids(primarily fentanyl) ,,11,12,21,31,28,31,52,41,55,58,65,62,42,62,81,171,289,364,352,332,480,414
  Female,,,,,,,,14,12,11,21,26,23,10,19,27,58,88,122,117,100,139,136
  Male,,,10,12,23,19,27,38,29,44,37,39,39,32,43,54,113,201,242,235,232,341,278
Synthetic Opioids (primarily fentanyl),33,40,54,84,107,121,130,278,175,190,203,229,220,172,237,514,999,1958,2655,2640,3040,5393,5936
  Female,,13,15,22,34,26,25,66,47,48,53,77,60,35,68,138,281,524,778,799,865,1428,1755
  Male,28,27,39,62,73,95,105,212,128,142,150,152,160,137,169,376,718,1434,1877,1841,2175,3965,4181
Benzodiazepines,53,90,133,178,212,271,322,442,515,550,571,658,614,511,507,572,,665,1046,1031,899,727,1267
Female ,12,22,26,42,53,60,83,95,145,133,147,172,158,137,133,167,,189,247,298,263,208,330
Male,41,68,107,136,159,211,239,347,370,417,424,486,456,374,374,405,,476,799,733,636,519,937
Benzodiazepines AND Any Opioid,37,74,104,146,170,237,281,387,452,486,517,605,569,479,452,514,,602,931,942,812,662,1156
  Female,,17,19,32,37,52,68,78,128,114,130,157,149,128,117,147,,164,217,275,236,190,292
  Male,31,57,85,114,133,185,213,309,324,372,387,448,420,351,335,367,,438,714,667,576,472,864
Benzodiazepines AND Synthetic Opioids(primarily fentanyl) ,,10,,,22,14,30,40,38,40,58,59,57,51,56,89,,152,377,509,522,486,1007
  Female,,,,,,,,,,,,,,,,25,,43,92,153,162,140,257
  Male,,,,,,,22,36,25,32,40,43,44,37,39,64,,109,285,356,360,346,750
