"totaldrugdeaths","fentanyldeaths","mentalhealthdiagdeaths","homelessdeaths","year","location"
"172","58","64","12","2020","Alaska"
"2405","1463","633","383","2020","Arizona"
"1327","557","319","134","2020","Colorado"
"1374","1158","417","62","2020","Connecticut"
"445","371","123","53","2020","Delaware"
"509","382","175","113","2020","District of Columbia"
"1809","829","359","118","2020","Georgia"
"433","151","103","16","2020","Kansas"
"2046","1508","252","87","2020","Kentucky"
"470","333","134","69","2020","Maine"
"2722","2350","705","233","2020","Maryland"
"2315","1972","663","192","2020","Massachusetts"
"2801","2043","454","122","2020","Michigan"
"956","607","440","91","2020","Minnesota"
"476","245","15","14","2020","Mississippi"
"122","24","13","4","2020","Montana"
"160","54","34","15","2020","Nebraska"
"917","278","260","125","2020","Nevada"
"372","317","126","55","2020","New Hampshire"
"2894","2382","322","189","2020","New Jersey"
"629","265","139","46","2020","New Mexico"
"2957","2161","710","111","2020","North Carolina"
"5152","4199","989","267","2020","Ohio"
"787","131","156","24","2020","Oklahoma"
"701","226","225","104","2020","Oregon"
"44606","31167","10163","3089","2020","Overall"
"5071","3928","799","187","2020","Pennsylvania"
"389","282","211","38","2020","Rhode Island"
"63","19","12","1","2020","South Dakota"
"535","112","235","51","2020","Utah"
"178","138","87","28","2020","Vermont"
"2121","1628","708","56","2020","Virginia"
"1298","996","281","89","2020","West Virginia"
"274","154","105","36","2021","Alaska"
"2688","1782","892","480","2021","Arizona"
"554","309","77","26","2021","Arkansas"
"1711","967","401","218","2021","Colorado"
"1530","1314","523","82","2021","Connecticut"
"510","427","144","88","2021","Delaware"
"541","398","180","83","2021","District of Columbia"
"2376","1355","358","208","2021","Georgia"
"400","199","214","19","2021","Iowa"
"674","339","77","14","2021","Kansas"
"2310","1726","310","179","2021","Kentucky"
"605","483","248","119","2021","Maine"
"2740","2333","703","255","2021","Maryland"
"2532","2140","1021","292","2021","Massachusetts"
"2970","2259","397","100","2021","Michigan"
"1237","920","574","137","2021","Minnesota"
"174","83","47","7","2021","Nebraska"
"932","311","288","173","2021","Nevada"
"419","347","146","58","2021","New Hampshire"
"3045","2550","230","145","2021","New Jersey"
"978","584","172","83","2021","New Mexico"
"3595","2829","762","248","2021","North Carolina"
"5406","4332","1203","317","2021","Ohio"
"1014","309","228","71","2021","Oklahoma"
"1075","512","350","198","2021","Oregon"
"50943","37017","12220","4318","2021","Overall"
"5331","4155","912","288","2021","Pennsylvania"
"447","337","227","35","2021","Rhode Island"
"82","27","12","4","2021","South Dakota"
"588","167","237","76","2021","Utah"
"238","207","106","44","2021","Vermont"
"2514","2016","779","145","2021","Virginia"
"1453","1146","297","90","2021","West Virginia"
