"Location","total","White","Black","Hispanic","Asian"
"United States",80411,53022,14537,9921,533
"Alabama",981,719,243,11,0
"Alaska",201,104,0,0,0
"Arizona",2000,1023,149,638,10
"Arkansas",386,316,57,0,0
"California",7181,3642,788,2199,142
"Colorado",1289,816,79,344,0
"Connecticut",1393,882,228,254,10
"Delaware",450,312,102,33,0
"District of Columbia",348,25,312,0,0
"Florida",5940,4381,600,866,13
"Georgia",1799,1253,440,81,10
"Hawaii",91,35,0,19,0
"Idaho",236,201,0,24,0
"Illinois",3050,1460,1165,360,16
"Indiana",2206,1721,366,95,0
"Iowa",259,209,35,10,0
"Kansas",435,319,40,44,0
"Kentucky",1897,1642,207,29,0
"Louisiana",1335,949,331,42,0
"Maine",547,507,10,0,0
"Maryland",2460,1267,1064,91,12
"Massachusetts",2267,1678,187,321,13
"Michigan",2536,1634,689,138,13
"Minnesota",978,552,209,53,14
"Mississippi",556,419,116,13,0
"Missouri",1582,1066,458,34,0
"Montana",114,84,0,0,0
"Nebraska",113,84,20,0,0
"Nevada",605,395,76,107,0
"New Hampshire",382,352,0,12,0
"New Jersey",2672,1504,676,448,28
"New Mexico",750,211,18,446,0
"New York",4946,2648,1038,1084,54
"North Carolina",3339,2384,687,144,0
"North Dakota",74,45,0,0,0
"Ohio",4456,3496,786,129,14
"Oklahoma",468,313,47,23,0
"Oregon",779,622,37,62,0
"Pennsylvania",4081,2892,751,369,18
"Rhode Island",385,287,27,59,0
"South Carolina",1712,1367,296,31,0
"South Dakota",46,27,0,0,0
"Tennessee",3038,2292,626,81,0
"Texas",2770,1550,406,768,22
"Utah",446,372,0,47,0
"Vermont",218,203,0,0,0
"Virginia",2230,1425,646,99,12
"Washington",1623,1110,154,148,25
"West Virginia",1253,1161,78,0,0
"Wisconsin",1437,1010,257,99,11
"Wyoming",71,56,0,0,0
